#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   612.0           5.4502E+00              5.4501E+00
   613.0           5.4527E+00              5.4525E+00
   614.0           5.4552E+00              5.4550E+00
   615.0           5.4576E+00              5.4575E+00
   616.0           5.4601E+00              5.4599E+00
   617.0           5.4626E+00              5.4624E+00
   618.0           5.4650E+00              5.4648E+00
   619.0           5.4675E+00              5.4673E+00
   620.0           5.4699E+00              5.4697E+00
   621.0           5.4723E+00              5.4722E+00
   622.0           5.4748E+00              5.4746E+00
   623.0           5.4772E+00              5.4770E+00
   624.0           5.4796E+00              5.4795E+00
   625.0           5.4821E+00              5.4819E+00
   626.0           5.4845E+00              5.4843E+00
   627.0           5.4869E+00              5.4867E+00
   628.0           5.4893E+00              5.4891E+00
   629.0           5.4917E+00              5.4915E+00
   630.0           5.4941E+00              5.4939E+00
   631.0           5.4965E+00              5.4963E+00
   632.0           5.4989E+00              5.4987E+00
   633.0           5.5013E+00              5.5011E+00
   634.0           5.5037E+00              5.5035E+00
   635.0           5.5060E+00              5.5058E+00
   636.0           5.5084E+00              5.5082E+00
   637.0           5.5108E+00              5.5106E+00
   638.0           5.5131E+00              5.5129E+00
   639.0           5.5154E+00              5.5153E+00
   640.0           5.5178E+00              5.5176E+00
   641.0           5.5201E+00              5.5199E+00
   642.0           5.5224E+00              5.5223E+00
   643.0           5.5248E+00              5.5246E+00
   644.0           5.5271E+00              5.5269E+00
   645.0           5.5294E+00              5.5292E+00
