#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   629.0           4.0185E+00              4.0185E+00
   630.0           4.0197E+00              4.0197E+00
   631.0           4.0208E+00              4.0208E+00
   632.0           4.0220E+00              4.0220E+00
   633.0           4.0231E+00              4.0231E+00
   634.0           4.0242E+00              4.0242E+00
   635.0           4.0254E+00              4.0254E+00
   636.0           4.0265E+00              4.0265E+00
   637.0           4.0276E+00              4.0276E+00
   638.0           4.0287E+00              4.0287E+00
   639.0           4.0299E+00              4.0299E+00
   640.0           4.0310E+00              4.0310E+00
   641.0           4.0321E+00              4.0321E+00
   642.0           4.0332E+00              4.0332E+00
   643.0           4.0343E+00              4.0343E+00
